a 一
lu 目前
lv 同学
lw 骨
lx 眼
ly 助
lz 县
m 我
ma 矢
mb 牛
mc 生
md 手
me 千
mf 禾
mg 重大
mh 毛
mi 舌
mj 和
mk 重
ml 看
mm 年
mn 我们
mo 失
mp 先后
mq 复杂
mr 先
ms 等
mt 剩
mu 税
mv 科学
mw 管
mx 缺
my 气
mz 每
n 他
na 使
nb 传
nc 身
nd 川
ne 做
nf 休
ng 顺
nh 代
ni 候
nj 鬼
nk 白
nl 自
nm 件
nn 你们
no 份
np 版
nq 躲
nr 化
ns 信
nt 们
nu 伪
nv 做法
nw 您
nx 片
ny 仍
nz 似
o 个
oa 八
ob 会
oc 全
od 人
oe 公共
of 分析
og 领
oh 得到
oi 行
oj 全国
ok 得
ol 会见
om 拿
on 合作
oo 从
op 公斤
oq 得胜
or 很多
os 今
ot 彻底
ou 很快
ov 分清
ow 令
ox 食
oy 分
oz 公
p 所
pa 金
pb 后来
pc 采取
pd 斤
pe 镇
pf 所需
pg 须
ph 钱
pi 钻
pj 后
pk 翻
pl 钢
pm 铁
pn 反射
po 银行
pp 钢铁
pq 般
pr 铬
ps 瓜
pt 反应
pu 后悔
pv 爪
pw 受
px 反
py 舟
pz 所以
q 月
qa 几百
qb 猪
qc 胀
qd 几
qe 膜
qf 杂
qg 朋友
qh 腻
qi 独
qj 肿
qk 几时
ql 肌肉
qm 胜
qn 月份
qo 风
qp 杂质
qq 册
qr 服务
qs 脉
qu 脱
qv 风波
qw 胜过
qx 狠
qy 九
qz 几经
r 多
ra 鱼
rb 各地
rc 争取
rd 儿
re 解散
rf 条
rg 备有
rh 氏
ri 外
rj 各
rk 乐
rl 角
rm 各种
rn 条件
ro 欠
rp 然后
rq 名胜
rr 比
rs 夕
rt 解决
ru 各类
rv 外汇
rw 忽视
rx 争
ry 包
rz 鸟 鳥
s 说
sa 言
sb 讲
sc 主
sd 新的
se 辛
sf 新
sg 方面
sh 亡
si 让
sj 就
sk 永
sl 调
sm 放
sn 齐
so 文
sp 诉
sq 设
sr 衣
ss 该
st 高度
su 立
sv 率
sw 忘
sx 变
sy 方
sz 弃
t 度
ta 病
tb 装
tc 闻
td 闭
te 斗
tf 次要
tg 广
th 减
ti 店
tj 问
tk 间
tl 门
tm 广告
tn 应付
to 冷
tp 资金
tq 决胜
tr 将
ts 北京 北京市
tt 状况
tu 资料
tv 应
tw 决定
tx 鹿
ty 疗
tz 废
u 为
ua 关于
ub 半
uc 羊
ud 情报
ue 并
uf 米
ug 类
uh 炼
ui 为此
uj 总
uk 单
ul 着
um 性
un 怕
uo 火
up 性质
uq 前
ur 快乐
us 粮
ut 料
uu 炎
uv 关注
uw 总之
ux 快
uy 卷
uz 数
v 没
va 河
vb 法
vc 清理
vd 举报
ve 港
vf 洒
vg 源
vh 柒
vi 滤
vj 满足
vk 消
vl 测
vm 海
vn 州
vo 举行
vp 派
vq 湖
vr 溜
vs 流
vt 渡
vu 洋
vv 洲
vw 学
vx 汉
vy 学院
vz 泼
w 这
wa 之
wb 完
wc 割
wd 定
we 宽
wf 速
wg 家
wh 军
wi 补
wj 启
wk 审
wl 实用
wm 户
wn 它们
wo 穴
wp 近
wq 肩
wr 农
ws 房
wt 实
wu 道
wv 逃
ww 密
wx 被
wy 初
wz 心
x 对
xa 马
xb 层
xc 敢
xd 門
xe 展
xf 既要
xg 颇
xh 既
xi 皮
xj 君
xk 录
xl 观
xm 尸
xn 难
xo 验
xp 矛盾
xq 皮肤
xr 对比
xs 又
xt 买
xu 群
xv 预测
xw 骗
xx 予
xy 即
xz 又能
y 了
ya 子
yb 那
yc 张
yd 刀
ye 及其
yf 飞机
yg 强大
yh 民
yi 也
yj 加
yk 阳
yl 费用
ym 力
yn 费
yo 办
yp 民航
yq 阴
yr 除外
ys 防
yt 习
yu 弹
yv 办法
yw 随
yx 建
yy 己
yz 已经
z 发
za 参与
zb 红
zc 出现
zd 发挥
ze 续
zf 结束
zg 出面
zh 纯
zi 如此
zj 如
zk 细
zl 组
zm 女
zn 以便
zo 以
zp 以后
zq 能
zr 能够
zs 统
zt 练习
zu 断
zv 经济
zw 编
zx 经
zy 母
zz 出
